,city,community,latitude,longitude,type,price,address,beds,sq_feet,baths,cats,dogs,utilities_included
3074,Calgary,Sage Hill,51.170385,-114.1350362,Condo Unit,2100,8 Sage Hill Terrace Northwest,2,799,2,0,0,"['Heat', 'Water', 'See Full Description', 'Internet']"
3075,Calgary,Marlborough,51.0616641,-113.9654941,Main Floor,2200,990 Marcombe Drive Northeast,3,1050,1.5,0,0,['See Full Description']
3076,Calgary,Mckenzie Towne,50.92897271,-113.9634274,Condo Unit,2200,4123 - 4975 130 Ave SE,2,986,2,2,2,"['Heat', 'Electricity', 'Water']"
3077,Calgary,Sunalta,51.0402635,-114.0984631,Condo Unit,2100,1625 14 Avenue Southwest,2,,2,0,0,"['Water', 'Heat']"
3078,Calgary,Ranchlands,51.119509,-114.1874363,House,2100,,3,2100,2,2,2,"['', 'Cable']"
3079,Calgary,Evanston,51.1827565,-114.1011512,Townhouse,2200,222 Evanscrest Square NW,2,989,2.5,0,0,['']
3080,Calgary,Garrison Green,51.002971,-114.1288679,Condo Unit,2150,5605 Henwood Street,2+den,935,2,0,0,"['Heat', 'Electricity', 'Water', '']"
3081,Calgary,Mahogany,50.904106,-113.9244606,Townhouse,2200,130 Marquis Lane Southeast,2,1210,2.5,0,0,['']
3082,Calgary,Capitol Hill,51.069843,-114.099482,Main Floor,2100,2006 16 Street Northwest,2,1000,1,2,2,"['Heat', 'Electricity', 'Water']"
3083,Calgary,Sandstone,51.140666,-114.1065747,Duplex,2200,111 - 388 Sandarac Drive Northwest,3,1550,2.5,2,2,['Water']
3084,Calgary,Bowness,51.0794102,-114.1798547,Apartment,2149,6347 Bowview Rd NW,3,1514,1.5,2,2,['']
3085,Calgary,Carrington,51.1856774,-114.0908303,Condo Unit,2195,1107 - 22 Carringham Gate Northwest,2,1200,1.5,0,0,"['Heat', 'Water', 'See Full Description']"
3086,Calgary,Mckenzie Towne,50.9280169,-113.9601198,Condo Unit,2200,2416 - 10 Prestwick Bay SE,2,,2,0,0,"['Heat', 'Electricity', 'Water']"
3087,Calgary,Redstone,51.17052262,-113.9638419,Townhouse,2200,41 Redstone Circle Northeast,3,1300,2.5,0,0,['']
3088,Calgary,Skyview,51.1504895,-113.9525169,Condo Unit,2100,1208 - 395 Skyview Parkway Northeast,2+den,745,2,2,2,"['Heat', 'Water']"
3089,Calgary,Renfrew,51.07331189,-114.0388675,House,2100,1305 Regal Crescent Northeast,2,1400,2,2,2,['']
3090,Calgary,Cedarbrae,50.95372591,-114.1199807,Apartment,2225,11611 Oakfield Dr SW,3,,1,2,2,"['Heat', 'Water']"
3091,Calgary,Temple,51.085449,-113.9530887,House,2160,5629 Temple Drive Northeast,3,,1.5,0,0,['']
3092,Calgary,Skyview,51.15234693,-113.9530319,Condo Unit,2100,2311 - 395 Skyview Parkway Northeast,2+den,750,2,2,2,"['Heat', 'Water']"
3093,Calgary,Belmont,50.8690263,-114.0612118,Condo Unit,2200,4120 - Belmont St SW,2,900,2,0,0,"['Heat', 'Water']"
3094,Calgary,Castleridge,51.10882268,-113.9540526,Main Floor,2200,Castleridge Close NE,3,,1.5,0,0,['See Full Description']
3095,Calgary,Panorama Hills,51.1699085,-114.0703904,Townhouse,2200,403 - 101 Panatella Square Northwest,2,1039,2.5,2,2,['']
3096,Calgary,Highland Park,51.0865111,-114.0649682,Main Floor,2200,,2,1013,1,0,0,"['Heat', 'Electricity', 'Water']"
3097,Calgary,Forest Lawn,51.041508,-113.974117,Townhouse,2150,1300 41 Street SE,3,1114,1,2,2,['']
3098,Calgary,Brentwood,51.087242,-114.1287899,Condo Unit,2249,710 - 30 Brentwood Common Northwest,2,595,1,0,0,"['Water', 'Heat']"
3099,Calgary,Glacier Ridge,51.1878152,-114.1704046,Main Floor,2195,27 Edith Pass Northwest,3,,2.5,0,0,['']
3100,Calgary,Huntington Hills,51.113996,-114.0682037,Condo Unit,2200,101 - 412 Huntsville Cres. NW,3,1100,1.5,0,0,"['Heat', 'Water']"
3101,Calgary,Saddle Ridge,51.1259686,-113.9277614,Condo Unit,2100,Saddlestone Way,2,771,2,0,0,"['Heat', 'Water']"
3102,Calgary,New Brighton,50.92807,-113.95652,Townhouse,2100,52 New Brighton Point Southeast,2,,2,0,0,['']
3103,Calgary,Carrington,51.18536,-114.09107,Condo Unit,2195,2314 - 33 Carringham Gate Northwest,2,1162,2,0,0,"['Heat', 'Water', 'See Full Description']"
3104,Calgary,Royal Oak,51.1526508,-114.2336257,Townhouse,2200,62 - Royal Oak Gdns NW,3,1250,1.5,0,0,['']
3105,Calgary,Sundance,50.9001349,-114.0527318,Main Floor,2195,17012 Sunvale Road Southeast,3,1100,1,2,2,['']
3106,Calgary,Wolf Willow,50.8743303,-114.001993,Condo Unit,2100,417 - 125 Wolf Hollow Crescent Southeast,2,,2,2,2,['Water']
3107,Calgary,Haysboro,50.9716933,-114.0860012,Main Floor,2200,,3,1050,1,0,0,['']
3108,Calgary,Bowness,51.0928196,-114.2048401,Main Floor,2200,4624 81 Street Northwest,3,1045,1,0,0,['']
3109,Calgary,Downtown,51.0489806,-114.0741117,Apartment,2125,618 5th Avenue SW,2,850,1,2,0,"['Heat', 'Water']"
3110,Calgary,West Springs,51.06615,-114.2155497,Townhouse,2200,4 - 35 West Coach Manor Southwest,2,843,2,0,0,['See Full Description']
3111,Calgary,Panorama Hills,51.1657127,-114.0890503,Condo Unit,2150,4201 - 60 Panatella Street Northwest,2+den,1040,2,0,0,"['Heat', 'Electricity', 'Water']"
3112,Calgary,Savanna,51.1358822,-113.9654269,Townhouse,2200,805 - 10060 46 Street Northeast,3,,2.5,0,0,['']
